Annotator,Question,Answer,Status (Chia-Hsiang),Comment,Status (Cheryl),Comment,Status (Aarush),Comment,URL,Thumbnail URL,Supporting sentences,Post ID,Tag,Modality,Javascript URL,Javascript code
Aarush,Did sea surface temperatures in the Arabian Sea reach at least 30 degrees Celcius in June of 2023?,,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/151463/cyclone-biparjoy-churns-toward-india-and-pakistan,,"According to Roxy Mathew Koll, a climate scientist at the Indian Institute of Tropical Meteorology, sea surface temperatures in the Arabian Sea were 31°C to 32°C in early June, which was 2°C to 4°C above the climatological mean.",,,News,,
Aarush,"Did sea surface temperatures near the coast of La Jolla, California exceed 23 degrees Celcius on August 1, 2018?",,double reviewed,,verified,,,,https://earthobservatory.nasa.gov/images/92563/record-warm-waters-off-southern-california,,"On August 1, 2018, researchers from the Scripps Institution of Oceanography observed water temperatures of 25.9 degrees Celsius (78.6 degrees Fahrenheit) along the coast at La Jolla, exceeding the previous record of 25.8°C (78.4°F) set in 1931.",,,News,,
Chia-Hsiang,"Did Shanhai experience higher land surface temperature anomalies than Beijing during August 5-12, 2013 relative to the 2000-2012 average for that week?",,,,double reviewed,,verified,,https://earthobservatory.nasa.gov/images/81870/heat-wave-in-china,,,,,MODIS-Terra,https://code.earthengine.google.com/df4b4489f672eac487e0b0b9a7fc71f4,"// Define the Area of Interest (AOI) for Shanghai and Beijing
var shanghai = ee.Geometry.Point([121.4737, 31.2304]);
var beijing = ee.Geometry.Point([116.4074, 39.9042]);

// Define the date range for the anomaly period
var anomalyStartDate = '2013-08-05';
var anomalyEndDate = '2013-08-12';

// Define the baseline period for the long-term average
var baselineStartYear = 2000;
var baselineEndYear = 2012;

// Load the MODIS Land Surface Temperature (LST) dataset
var modisLST = ee.ImageCollection('MODIS/061/MOD11A1');

// --- Calculations for Shanghai ---

// Calculate the long-term average LST for the baseline period in Shanghai
var baselineShanghai = ee.ImageCollection(
  ee.List.sequence(baselineStartYear, baselineEndYear).map(function(year) {
    var startDate = ee.Date.fromYMD(year, 8, 5);
    var endDate = ee.Date.fromYMD(year, 8, 12);
    return modisLST.filter(ee.Filter.date(startDate, endDate))
                   .select('LST_Day_1km')
                   .mean()
                   .multiply(0.02) // Apply scale factor to get Kelvin
                   .subtract(273.15); // Convert to Celsius
  })
).mean();

// Calculate the average LST for the anomaly period in 2013 in Shanghai
var anomalyShanghai = modisLST.filter(ee.Filter.date(anomalyStartDate, anomalyEndDate))
                              .select('LST_Day_1km')
                              .mean()
                              .multiply(0.02) // Apply scale factor
                              .subtract(273.15); // Convert to Celsius

// Calculate the LST anomaly for Shanghai
var lstAnomalyShanghai = anomalyShanghai.subtract(baselineShanghai);

// --- Calculations for Beijing ---

// Calculate the long-term average LST for the baseline period in Beijing
var baselineBeijing = ee.ImageCollection(
  ee.List.sequence(baselineStartYear, baselineEndYear).map(function(year) {
    var startDate = ee.Date.fromYMD(year, 8, 5);
    var endDate = ee.Date.fromYMD(year, 8, 12);
    return modisLST.filter(ee.Filter.date(startDate, endDate))
                   .select('LST_Day_1km')
                   .mean()
                   .multiply(0.02) // Apply scale factor
                   .subtract(273.15); // Convert to Celsius
  })
).mean();

// Calculate the average LST for the anomaly period in 2013 in Beijing
var anomalyBeijing = modisLST.filter(ee.Filter.date(anomalyStartDate, anomalyEndDate))
                            .select('LST_Day_1km')
                            .mean()
                            .multiply(0.02) // Apply scale factor
                            .subtract(273.15); // Convert to Celsius

// Calculate the LST anomaly for Beijing
var lstAnomalyBeijing = anomalyBeijing.subtract(baselineBeijing);

// --- Print the results ---

// Use reduceRegion to get the numerical anomaly values for the points of interest
var anomalyValueShanghai = lstAnomalyShanghai.reduceRegion({
  reducer: ee.Reducer.mean(),
  geometry: shanghai,
  scale: 1000
}).get('LST_Day_1km');

var anomalyValueBeijing = lstAnomalyBeijing.reduceRegion({
  reducer: ee.Reducer.mean(),
  geometry: beijing,
  scale: 1000
}).get('LST_Day_1km');

print('Shanghai Land Surface Temperature Anomaly (Celsius):', anomalyValueShanghai);
print('Beijing Land Surface Temperature Anomaly (Celsius):', anomalyValueBeijing);"
Chia-Hsiang,"Did Sierra Estrella show higher land surface temperature than PHX Airport in July 19, 2023?",,,,verified,,double reviewed,,https://www.nasa.gov/centers-and-facilities/jpl/nasa-data-shows-fierce-surface-temperatures-during-phoenix-heat-wave/,https://www.nasa.gov/wp-content/uploads/2023/08/1-pia25868-viirs-lst-night-phoenix-v16-jplwebsite.m4v,"From July 1 to July 19, the built surfaces in the maps grew progressively hotter, likely the combined effect of the heat wave intensifying and the cumulative heating of those human-made structures. Due to their high heat capacity, these surfaces didn’t fully cool overnight before the onset of the next day’s heat, said Glynn Hulley, the JPL climate scientist who produced the series.",,,VIIRS,,
Cheryl,"Did smoke from the Lynx Mountain fire in northeastern Washington spread into British Columbia on September 13, 2025?",,double reviewed,,,,verified,,https://earthobservatory.nasa.gov/images/154797/smoky-skies-in-the-pacific-northwest,,"On September 13, 2025, the MODIS (Moderate Resolution Imaging Spectroradiometer) on NASA’s Terra satellite captured this view of smoke spreading from the Lynx Mountain fire across the northeastern part of the state and into British Columbia",,,MODIS-Terra,,
Cheryl,"Did smoke plumes from the Itcha Lake fire spread south into the US Pacific Northwest on September 2, 2025?",No,verified,,,,double reviewed,,https://earthobservatory.nasa.gov/images/154751/bc-wildfires-send-smoke-skyward,,"On the afternoon of September 2, 2025, the MODIS (Moderate Resolution Imaging Spectroradiometer) on NASA’s Aqua satellite captured this image of smoke pouring from wildfires in the Cariboo region. Most were burning within the western part of this region, which spans 8.2 million hectares (20 million acres) of British Columbia’s central interior.",,,MODIS-Aqua,,
Cheryl,"Did surface water extent in Keechelus Lake, Washington, decrease between July 2024 and July 2025?",,verified,,,,double reviewed,,https://earthobservatory.nasa.gov/images/154703/drought-parches-the-yakima-river-basin,,"Water storage in the basin’s five reservoirs has dropped sharply as well, bringing levels, at times, to some of the lowest measured since record-keeping started in 1971. The OLI (Operational Land Imager) on Landsat 8 captured this image (above right) of three of the Yakima basin reservoirs on July 29, 2025, the most recent date a clear image of the reservoirs was available.",,,Landsat 8,,
Cheryl,"Did surface water extent in southern Iran increase on January 7, 2022 compared to December 14, 2021?",,double reviewed,,,,verified,,https://earthobservatory.nasa.gov/images/149325/flash-floods-swamp-iran,,"The Moderate Resolution Imaging Spectroradiometer (MODIS) on NASA’s Aqua satellite captured imagery of flooding in southern Iran on January 7, 2022. For comparison, the second image shows the same area on December 14, 2021, before the storms hit. ",,,MODIS-Aqua,,
Cheryl,"Did surface water extent increase along the Indus River floodplain in Pakistan between July 1, 2022 and August 28, 2022?",,double reviewed,,,,verified,,https://earthobservatory.nasa.gov/images/154781/monsoon-rains-flood-pakistan,,"The image on the right shows flooding along major rivers in the region on September 9, 2025. For comparison, the left image shows the area on the same day in 2023, when monsoon rainfall amounts were close to normal. The images were acquired with the VIIRS (Visible Infrared Imaging Radiometer Suite) on the NOAA-20 satellite and are false-color to emphasize the presence of water.

Mid-August brought torrential rains to mountainous northern areas of the country, triggering damaging and deadly flash floods and landslides as the water worked its way downstream. By the end of the month, monsoon rain totals were 21 percent above normal nationwide and 36 percent higher in Punjab province. As of September 4, nearly 4 million people in eastern Punjab were affected, and close to 2 million were evacuated. About 4,000 villages were inundated by overflowing rivers.
",,,"VIIRS

Sentinel 2",,
Aarush,"Did temperatures exceed 100 degrees fahrenheit in Prescott, Arizona during the month of June in 2017?",,double reviewed,https://www.wunderground.com/cat6/summary-great-southwest-us-heat-wave-2017,verified,,,,https://earthobservatory.nasa.gov/images/90501/fires-in-the-southwest,,"In Prescott, Arizona, temperatures topped 100 degrees Fahrenheit (38 Celsius) during the recent heat wave",,,News?,,
Aarush,"Did Dallasport, Washington reach air temperatures of at least 95 degrees fahrenheit in July 2022?",,unreviewed,,verified,,,,https://earthobservatory.nasa.gov/images/150152/a-july-of-extremes,,"In mid- to late July, blistering heat baked the Great Plains with highs reaching 115°F (46°C) and heat indices exceeding 120°F (49°C). ",,,GEOS?,,
Cheryl,Did the aerosol optical depth over the Sichuan Basin in southwestern China decrease between 2006 and 2020?,,verified,,,,verified,,https://earthobservatory.nasa.gov/images/150918/sichuans-smoggy-basin,,"According to their analysis of MODIS optical depth data, the rate of decrease went from 0.02 per year between 2006 and 2012 to 0.06 per year between 2012 and 2020.",,,MODIS-Terra,,
Cheryl,"Did the air temperature reach over 50 degrees Celsius at the Furnace Creek Visitor's Center on June 30, 2013?",,double reviewed,,,,verified,,https://earthobservatory.nasa.gov/images/81562/death-valley-claims-a-heat-title-again,," The air temperature rose to 129.2 °Fahrenheit (54 °Celsius) at the Furnace Creek Visitor's Center on June 30, 2013",,,ERA5?,,
Chia-Hsiang,"Did the air temperature reach over 58 degrees Celsius at the Furnace Creek Visitor's Center on June 30, 2013?",No,,,double reviewed,,verified,,https://earthobservatory.nasa.gov/images/81562/death-valley-claims-a-heat-title-again,," The air temperature rose to 129.2 °Fahrenheit (54 °Celsius) at the Furnace Creek Visitor's Center on June 30, 2013",,,ERA5?,,
Aarush,"Did the Alisal Fire cover less than 10,000 acres from October 11, 2021 to October 13, 2021?",no,verified,,verified,,,,https://earthobservatory.nasa.gov/images/148950/alisal-fire-rages-near-santa-barbara,,"After igniting near the Alisal reservoir on October 11, the fast-moving blaze charred 13,400 acres (54 square kilometers) by the afternoon of October 13.",,,MODIS-Aqua,,
Chia-Hsiang,"Did the area around Walvis Bay, Nambia during February, 2021 show higher NDVI than the 2010 to 2020 average for the same month?",no,,,double reviewed,,verified,,https://earthobservatory.nasa.gov/images/147924/abundant-rain-turns-namibia-green,,"January 2021 saw rainfall totals double to triple the norm in the northeastern, central, and southern parts of Namibia. According to a weather monitor in Windhoek, 228 millimeters (9 inches) of rain fell in January; the long-term average is 85 millimeters (3 inches).",,,MODIS-Terra,,
Aarush,"Did the area around Windhoek, Nambia appear greener on February 7, 2021 as compared to the same region on January 29, 2020?",,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/147924/abundant-rain-turns-namibia-green,,"January 2021 saw rainfall totals double to triple the norm in the northeastern, central, and southern parts of Namibia. According to a weather monitor in Windhoek, 228 millimeters (9 inches) of rain fell in January; the long-term average is 85 millimeters (3 inches).",,,MODIS-Terra,,
Chia-Hsiang,"Did the area around Windhoek, Nambia during February, 2021 show higher NDVI than the 2010 to 2020 average for the same month?",,,,double reviewed,,verified,,https://earthobservatory.nasa.gov/images/147924/abundant-rain-turns-namibia-green,,"January 2021 saw rainfall totals double to triple the norm in the northeastern, central, and southern parts of Namibia. According to a weather monitor in Windhoek, 228 millimeters (9 inches) of rain fell in January; the long-term average is 85 millimeters (3 inches).",,,MODIS-Terra,,
Cheryl,"Did the area of open water around Bay Dosgris, south of New Orleans, increase from 1985 to 2024 relative to wetland areas?",,verified,,,,verified,,https://earthobservatory.nasa.gov/images/154302/forty-years-of-change-in-louisianas-wetlands,,,,,"Landsat 5
Landsat 8
Landsat 9",,
Cheryl,"Did the burn scar area near Hermit Park in Santa Fe, New Mexico (35.759, 105.503), increase between April 19, 2022, and April 23, 2022?",,double reviewed,,,Coordinates from: https://en.wikipedia.org/wiki/Calf_Canyon/Hermits_Peak_Fire,verified,,https://earthobservatory.nasa.gov/images/149748/wildfires-scorch-northern-new-mexico,,"Fire season in New Mexico arrived early and aggressively in 2022, fueled by strong, gusty winds, extremely low humidity, and an exceedingly dry landscape. As of April 19, nearly 99 percent of the state was dealing with some level of drought, according to the U.S. Drought Monitor, with 63 percent rated at extreme to exceptional levels of dryness. Amid those conditions, nearly 137,000 acres of forests and grasslands were burning in five major fires across New Mexico on April 25.

The images above provide three satellite views of the area near Santa Fe on April 23. The natural-color and false-color (shortwave infrared and visible light, bands 7-2-1) images were acquired by the Moderate Resolution Imaging Spectroradiometer (MODIS) on NASA’s Aqua satellite. The false-color view makes it easier to distinguish the burn scar on the landscape. The nighttime view was acquired around 2 a.m. local time on April 23 with the Visible Infrared Imaging Radiometer Suite (VIIRS) on the NOAA-NASA Suomi NPP satellite.
",,,MODIS-Aqua,,
Cheryl,"Did the burned area north and west of Pacific Palisades, California increase between January 6, 2025 and January 14, 2025?",,verified,,,,double reviewed,,https://earthobservatory.nasa.gov/images/153831/the-palisades-fires-footprint,,"The images above, acquired on January 14 by the OLI-2 (Operational Land Imager-2) on Landsat 9, show the area affected by the fire. In the natural color image (left), visibly charred areas stretch to the north and west of Pacific Palisades. Several lines of bright red or pink fire retardant dropped by aircraft appear along the perimeter of the burned area. (These are more visible in the larger image.)

The false-color image (right) combines shortwave infrared, near infrared, and visible components (OLI bands 6-5-3) of the electromagnetic spectrum. This band combination makes it easier to identify unburned vegetation (green) and recently burned landscape (light to dark brown).
",,,"Landsat 8
Landsat 9",,
Aarush,Did the Central Valley of California experience at least 15 inches of rainfall between October 2022 and March 2023?,,double reviewed,,verified,,,,https://earthobservatory.nasa.gov/images/151438/satellites-show-gains-in-california-water,,"Between October 2022 and March 2023, storms provided enough water to raise the amount of water within the “swimming pool” by about 20 inches (about 500 millimeters)",,,News (GRACE),,
Aarush,Did the Central Valley of California have a higher water height equivalent in October 2022 than March 2023?,no,double reviewed,,verified,,,,https://earthobservatory.nasa.gov/images/151438/satellites-show-gains-in-california-water,https://eoimages.gsfc.nasa.gov/images/imagerecords/151000/151438/CaliforiaWater_GRACEFO_2022_2023.jpg,"Between October 2022 and March 2023, storms provided enough water to raise the amount of water within the “swimming pool” by about 20 inches (about 500 millimeters)

The gain in water between October 2022 and March 2023 is apparent in the maps above. Blue colors represent areas where conditions were wetter than average (relative to 2004–2010), while red colors were drier than average.",,,News (GRACE),,
Aarush,Did the coastal city of La Serena experience at least 6cm of rainfall in July 2022?,,double reviewed,,verified,,,,https://earthobservatory.nasa.gov/images/150100/snow-blanket-for-the-andes,,"On July 7, the coastal city of La Serena had a year-to-date rainfall deficit of about 80 percent (compared to the mean from 1990-2020). The storms delivered 8 centimeters (3 inches) of rain, bringing the city to a 64 percent surplus.",,,News,,
Chia-Hsiang,"Did the cropland around the North Crimean Canal in Ukraine apprear browner between June 3 and July 19, 2023?",,,,double reviewed,,verified,,https://earthobservatory.nasa.gov/images/151622/canals-in-ukraine-are-drying-up,,,,,Landsat 9,,
Cheryl,"Did the Cuyuni River (6.437929, -58.628264) appear lighter in color than the Mazaruni and Essequibo Rivers near their confluence (6.407305, -58.606792) on August 16, 2023?",,double reviewed,,,,verified,,https://earthobservatory.nasa.gov/images/154830/land-of-many-waters-and-much-sediment,,"The difference in water color between the Cuyuni and the other two rivers is due to varying amounts of small particles floating in the water, or suspended sediment. When the image was acquired, the darker waters of the Mazaruni and Essequibo likely contained less suspended sediment, allowing tannins—organic compounds from decaying vegetation—to stain the water a dark brown color. In contrast, the Cuyuni appeared light brown because it was carrying what Colby College hydrologist Evan Dethier described as “enormous” amounts of fine-grained sediment",,,Landsat 8,,
Cheryl,Did the glacial ice and snow cover on Mount Stanley in the Rwenzori Mountains decrease between 2020 and 2024?,,verified,,,,verified,,https://earthobservatory.nasa.gov/images/154313/mountains-of-the-moon,,"The Rwenzori Mountains, along with Kilimanjaro and Mount Kenya east of this image, contain the bulk of East Africa’s tropical glaciers. All of them are in strong decline.

The white cap atop Mount Stanley, visible in the detailed image above, is a combination of glacial ice and snow. Researchers surveying the mountain’s glaciers found that the area of the Stanley Plateau glacier decreased by 29.5 percent between 2020 and 2024. T",,,Landsat 9,,
Cheryl,Did the global ocean surface color show a shift toward a greener hue between 2002 and 2022?,,verified,,,,verified,,https://earthobservatory.nasa.gov/images/151894/climate-change-lends-new-color-to-the-ocean,,"The map above highlights the areas where ocean surface color changed between 2002 and 2022, with darker shades of green representing more-significant differences (higher signal-to-noise ratio).",,,MODIS-Aqua,,
Cheryl,"Did the inundation region within a 10 km radius around Ingeniero White port, Argentina, increase on March 11, 2025 compared to January 30, 2025?",,verified,,,,verified,,https://www.earthobservatory.nasa.gov/images/154047/bahia-blanca-inundated,,"The false-color images above show the city and its surroundings on January 30 (left) and March 11 (right), before and after the rainstorm. They were acquired with the OLI-2 (Operational Land Imager-2) on Landsat 9 and the OLI on Landsat 8, respectively. The band combination (7-5-4) used in the images makes it easier to distinguish between water, land, and vegetation. Flooded areas are visible in developed areas, particularly near the coast, as well as in the surrounding fields.",,,"Landsat 8
Landsat 9",,
Cheryl,"Did the Jianghan District of Wuhan show lower nightime light intensity on February 4, 2020, compared to January 19, 2020?",,verified,(VNP46A2),,,double reviewed,,https://earthobservatory.nasa.gov/images/146481/nighttime-images-capture-change-in-china,,"The images were acquired before and after transportation networks and most business activities were shut down in the province of 60 million people. In the wide views above, note how highways and metropolitan areas grow dimmer after the lockdown. The detailed images below focus on lighting changes in Jianghan District, a commercial area of Wuhan, and nearby residential areas.",,,VIIRS,,
Cheryl,Did the land area of Great Fox Island decrease between 1999 and 2019?,,double reviewed,,,,double reviewed,,https://earthobservatory.nasa.gov/images/145927/great-fox-is-disappearing,,"When the island was first discovered in 1773, it spanned more than 400 acres (1.6 square kilometers). By 2019, just 34 acres (0.1 square kilometers) remained.",,,"Landsat 7
Landsat 8",,
Chia-Hsiang,Did the land area of Smith Island decrease between 1999 and 2019?,,,,verified,,double reviewed,,https://earthobservatory.nasa.gov/images/145927/great-fox-is-disappearing,,"When the island was first discovered in 1773, it spanned more than 400 acres (1.6 square kilometers). By 2019, just 34 acres (0.1 square kilometers) remained.",,,"Landsat 7
Landsat 8",,
Cheryl,"Did the land surface in Denmark appear more brown in July 24, 2018 compared to July 19, 2017?",,verified,,,,verified,,https://earthobservatory.nasa.gov/images/92490/heatwave-turns-europe-brown,,"A persistent heatwave has been lingering over parts of Europe, setting record high temperatures and turning typically green landscapes to brown.

The images above show browning in north-central Europe on July 24, 2018. For comparison, the second image shows the same area one year ago. Both images were acquired by the Moderate Resolution Imaging Spectroradiometer (MODIS) on NASA’s Terra satellite.
",,,MODIS-Terra,,
Cheryl,Did the Lut Desert experience land surface temperatures above 75 degrees Celsius in 2018?,,verified,,,,double reviewed,,https://modis.gsfc.nasa.gov/gallery/individual.php?db_date=2024-04-06,,,,,Modis-Aqua,,
Chia-Hsiang,"Did the mean tropospheric nitrogen dioxide levels in Beijing all decrease during February 10-25, 2020 compared to January 1-20, 2020?",,,Split it up,,,,"Could split this up? If not, feel free to mark as verified :)",https://earthobservatory.nasa.gov/images/146362/airborne-nitrogen-dioxide-plummets-over-china,,,,,Sentinel 5P,,
Chia-Hsiang,"Did the mean tropospheric nitrogen dioxide levels in Beijing, Chongqing, and Wuhan all decrease during February 10-25, 2020 compared to January 1-20, 2020?",,,a all-in-one version,,,,"Could split this up? If not, feel free to mark as verified :)",https://earthobservatory.nasa.gov/images/146362/airborne-nitrogen-dioxide-plummets-over-china,,,,,Sentinel 5P,,
Cheryl,"Did the mean tropospheric nitrogen dioxide levels in Hong Kong decrease during February 10-25, 2020 compared to January 1-20, 2020?",,verified,,,,double reviewed,,https://earthobservatory.nasa.gov/images/146362/airborne-nitrogen-dioxide-plummets-over-china,,,,,Sentinel 5P,,
Cheryl,"Did the mean tropospheric nitrogen dioxide levels over Hong Kong increase between February 10-25, 2020 and April 20-May 12, 2020? ",,verified,,,,verified,,https://earthobservatory.nasa.gov/images/146741/nitrogen-dioxide-levels-rebound-in-china,,,,,Sentinel 5P,,
Cheryl,"Did the mean tropospheric nitrogen dioxide levels over Shanghai increase between February 10-25, 2020 and April 20-May 12, 2020? ",,verified,,,,double reviewed,,https://earthobservatory.nasa.gov/images/146741/nitrogen-dioxide-levels-rebound-in-china,,,,,Sentinel 5P,,
Chia-Hsiang,"Did the mean tropospheric nitrogen dioxide levels over Taiwan increase between February 10-25, 2020 and April 20-May 12, 2020? ",no,,,verified,,verified,,https://earthobservatory.nasa.gov/images/146741/nitrogen-dioxide-levels-rebound-in-china,,,,,Sentinel 5P,,
Cheryl,"Did the nighttime brightness at Biju Patnaik Airport decrease more than the brightness at Saheed Nagar (20.290813, 85.848691) between April 30, 2019 and May 5, 2019?",,verified,,,,double reviewed,,https://earthobservatory.nasa.gov/images/145017/lights-out-after-cyclone-fani,,"The images above show Bhubaneswar, the capital and largest city in the state. According to media reports on May 8, only a few percent of the people in the city have electricity. The Biju Patnaik International Airport suffered considerable damage to the passenger terminal, while the roof of the air traffic control tower was blown away.",,,VIIRS,,
Chia-Hsiang,"Did the nighttime brightness at Cuttack, Odisha decrease from April 30, 2019 to May 4, 2019?",,,,verified,,double reviewed,,https://earthobservatory.nasa.gov/images/145017/lights-out-after-cyclone-fani,,"The images above show Bhubaneswar, the capital and largest city in the state. According to media reports on May 8, only a few percent of the people in the city have electricity. The Biju Patnaik International Airport suffered considerable damage to the passenger terminal, while the roof of the air traffic control tower was blown away.",,,VIIRS,,
Cheryl,"Did the NVDI within a 10 mile raidus over coordinates (39.493523, -122.107805) decrease between September 4, 2021 and Septebmer 16, 2022?",,verified,,,,verified,,https://earthobservatory.nasa.gov/images/150412/a-rough-year-for-rice-in-california,,"The scale of the change is visible from space. The right side of the image pair above shows a major rice-producing area east of Willows on September 16, 2022; the left side shows the same area on September 4, 2021. Tens of thousands of acres of farmland that would normally be green as farmers prepare for harvest were instead brown and idle in 2022.",,,MODIS-Terra,,
Aarush,Did the rate of cropland expansion slow in Africa from 2016-2019 compared to 2004-2007?,no,double reviewed,,verified,,,,https://earthobservatory.nasa.gov/images/149624/crop-expansion-accelerates-in-africa,,"While the rate of cropland expansion slowed in South America over the past two decades, it accelerated in Africa. There was a more than twofold increase from 2016–2019 compared to 2004–2007.",,,"MODIS-Terra
MODIS-Aqua
Landsat 5
Landsat 7
Landsat 8",,
Aarush,"Did the regions around Mount Isa and Townsville in Queensland experience at least 45 centimeters of rainfall between January 27 to February 10, 2019?",,double reviewed,,verified,,,,https://earthobservatory.nasa.gov/images/144545/summer-floods-in-australia,,The map above shows the tremendous amount of rain that fell around the Mount Isa and Townsville areas from January 27 to February 10—as much as 55 centimeters (22 inches) in places.,,,GPM,,
Chia-Hsiang,"Did the regions around Mount Isa and Townsville in Queensland experience over 65 centimeters of rainfall between January 27 to February 10, 2019?",no,,"Yes, it should be no",double reviewed,,verified,,https://earthobservatory.nasa.gov/images/144545/summer-floods-in-australia,,The map above shows the tremendous amount of rain that fell around the Mount Isa and Townsville areas from January 27 to February 10—as much as 55 centimeters (22 inches) in places.,,,GPM,,
Chia-Hsiang,"Did the sea surface temperatures in March 2022 at a location 100 km offshore east of Cairns, Australia, show temperature changes greater than 1°C compared to the overall average water temperatures from 2003 to 2014?",,,,verified,,verified,,https://earthobservatory.nasa.gov/images/149666/great-barrier-reef-mass-bleaching-event,https://eoimages.gsfc.nasa.gov/images/imagerecords/149000/149666/gbrssta_mur_202273.jpg,"The most recent episode of warming began with SSTs rising in the waters off Queensland in December 2021, according to NOAA Coral Reef Watch. NOAA researchers monitor SST data from four stations along the 2,300-kilometer (1,400-mile) length of the reef.

In early March 2022, water temperatures spiked and stayed high for several weeks, creating marine heatwave conditions. The map above shows the SST anomalies off the northeast coast of Australia on March 14, 2002, when many areas were more than 2°C (3.6°F) warmer than normal. (Rather than showing absolute temperature, the anomaly reflects the difference between the daily SST and the 12-year average SST from 2003 through 2014.)",landsat_149666,,News,,
Cheryl,"Did the shoreline near Rasheed in Egypt retreat inland between July 25, 1984 and August 16, 2021?",,verified,,,,verified,,https://earthobservatory.nasa.gov/images/149699/keeping-a-satellite-eye-on-gerd,,,,,Landsat 8,,
Chia-Hsiang,Did the snow water equivelent at Donner Pass higher in February than April in 2022?,,,,verified,,verified,,https://earthobservatory.nasa.gov/images/149798/wild-fluctuations-in-sierra-snow,,"The peak snow water equivalent across the 39-year record (dashed line) usually occurs around March 24, with a median at 37.2 inches. In 2022, SWE peaked at 27.6 inches on January 12 and started falling on February 6. The data in the graph come from the SNOTEL network, which is managed by the U.S. Department of Agriculture.",,,ERA5,,
Chia-Hsiang,Did the Sonoran Desert experience land surface temperatures above 75 degrees Celsius in 2019?,,verified,,verified,,verified,,https://modis.gsfc.nasa.gov/gallery/individual.php?db_date=2024-04-06,,,,,MODIS-Aqua,,
Cheryl,"Did the surface water area of Poyang Lake in China’s Jiangxi Province decrease between July 10, 2022 and August 27, 2022?",,verified,,,,verified,,https://earthobservatory.nasa.gov/images/150285/parched-poyang-lake,,,,,Landsat 8,,
Cheryl,"Did the surface water extent of Lake Mead decrease between July 6, 2000 and July 3, 2022?",,verified,,,,verified,,https://earthobservatory.nasa.gov/images/150111/lake-mead-keeps-dropping?src=ve,,The water levels of Lake Mead—the largest reservoir in the U.S.—have dropped dramatically in the last few decades.,,,Landsat 9,,
Cheryl,Did the surface water width of the Mississippi River near Memphis decrease on September 2023 compared to September 2021?,,verified,,,,verified,,https://earthobservatory.nasa.gov/images/151897/the-mississippi-is-mighty-parched,,"Water levels were especially low near Memphis, Tennessee. The images above show the Mississippi River near Memphis on September 16, 2023 (left), compared to September 10, 2021 (right). The river was significantly slimmed down in 2023, exposing some of the river bottom.",,,Landsat 8,,
Cheryl,"Did the temperature over Córdoba airport reach over 40 degrees Celcius on April 26, 2023?",No,verified,,,,verified,,https://earthobservatory.nasa.gov/images/151366/spain-browned-by-drought,,"On April 26, hot air from North Africa swept over southern Spain and pushed the temperature at the Córdoba airport to 38.8°C (101.8°F), the highest April temperature recorded in continental Spain.",,,VIIRS,,
Chia-Hsiang,"Did the town of Marovoay have higher water extent in January 27, 2020 than January 18, 2017?",,,,verified,,double reviewed,,https://earthobservatory.nasa.gov/images/146225/flood-waters-overwhelm-northern-madagascar,,,,,Landsat 8,,
Cheryl,"Did the urban area in Mekele, Ethiopia, increase between 1984 and 2025?",,verified,,,,verified,,https://earthobservatory.nasa.gov/images/154760/breaking-new-ground-in-mekele,,"The pair of Landsat images above, acquired in 1984 (left) and 2025 (right), show Mekele’s transformation from a town of 60,000 people to a city of more than 500,000, complete with heavy industry, an airport, a cement plant, and large-scale planned residential neighborhoods.",,,"Landsat 5
Landsat 8",,
Cheryl,"Did the visible water extent in the North Crimean Canal in Ukraine decrease between June 3 and July 19, 2023?",,verified,,,,verified,,https://earthobservatory.nasa.gov/images/151622/canals-in-ukraine-are-drying-up,,,,,Landsat 9,,
Cheryl,"Did the volcanic plume from Mount Lewotobi Laki-Laki on the Indonesian island of Flores drift westward at about 2 pm local time on July 7, 2025?",,verified,,,,verified,,https://www.earthobservatory.nasa.gov/images/154520/towering-plume-from-mount-lewotobi-laki-laki,,"At about 2 p.m., the VIIRS (Visible Infrared Imaging Radiometer Suite) on the Suomi NPP satellite acquired this image of its volcanic plume drifting westward. The eruption was still ongoing as of that evening, the agency reported.",,,VIIRS,,
Chia-Hsiang,"Did the volcanic plume from Nyamulagira at Virunga National Park drift eastward on February 20, 2025, captured by Landsat 8?",No,,,double reviewed,,verified,,https://earthobservatory.nasa.gov/images/154037/nyamulagira-brings-the-heat,," thermal signal also appears near the end of a southwest-trending lava flow, approximately 3.3 kilometers (2 miles) from the crater’s west rim.",,,Landsat 8,,
Cheryl,"Did the water extent in Lake Killamperpunna increase between June 20, 2025 and September 15, 2025?",,double reviewed,,,,verified,,https://earthobservatory.nasa.gov/images/154803/cooper-creek-replenishes-lake-eyre,,,,,MODIS-Terra,,
Cheryl,"Did the water extent in the northern part of Lake Eyre increase between June 20, 2025 and September 15, 2025?",No,double reviewed,,,,verified,,https://earthobservatory.nasa.gov/images/154803/cooper-creek-replenishes-lake-eyre,,"The northwest part of Lake Eyre became drier, while its eastern side expanded",,,MODIS-Terra,,
Aarush,"Did the water extent of Elephant Butte Reservoir decrease between June 12, 1986 and June 9, 2020",,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/147999/river-colors-are-changing,,,,,"Landsat 5
Landsat 7
Landsat 8",,
